;;;Bibtex_orig;;;;;;;;;;;ChatGPT;;;;;;;;;;;;Llama;;;;;;;;;;;;CERMINE;;;;;;;;Neural ParsCit
lnum;style;et al.;EN;au;ti;jo;ye;vo;nu;pa;se;bo;do;EN;au;ti;jo;ye;vo;nu;pa;se;bo;do;description;EN;au;ti;jo;ye;vo;nu;pa;se;bo;do;description;au;ti;jo;ye;pa;vo;nu;description;au;ti;jo;ye;pa;vo;bo;description
185;apa;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;;DIFF;OK;OK;OK;OK;OK;OK;author: drsmith <-> smithdr -|- ;OK;DIFF;OK;OK;DIFF;DIFF;NONE;title: Bibliometrics, Dermatology And Contact Dermatitis <> Bibliometrics, Dermatology And Contact Dermatitis. | pages: 133-136 <> 133-136.https://doi.org/10.1111/j.1600-0536.2008.01405.x | volume: 59 <> 59(3 | 
186;apa;0;article;1;1;1;1;0;1;1;0;0;0;OK;OK;OK;OK;OK;NONE;OK;OK;NONE;NONE;NONE;;;;;;;;;;;;;Problem parsing;DIFF;OK;DIFF;OK;OK;NONE;MISS;author: ymokhnachevavtsvetkova <-> tsvetkovav -|- journal: Nauchnye I Tekhnicheskie Biblioteki-Scientific And Technical Libraries <-> Nauchnye I Tekhnicheskie Biblioteki-Scientific And Technical Libraries, (6) -|- ;DIFF;DIFF;OK;OK;OK;ADDED;NONE;author: ymokhnachevavtsvetkova <> vtsvetkovaymokhnacheva | title: Bibliometrics And Modern Scientific Libraries <> Bibliometrics And Modern Scientific Libraries. | 
187;apa;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;NONE;;DIFF;DIFF;OK;OK;OK;DIFF;DIFF;author: ikmoppett <-> societyengland -|- title: Individual Bibliometrics In Uk Anaesthesia <-> Individual Bibliometrics In Uk Anaesthesia [Annual Meeting Of The Anaesthetic-Research- -|- volume: 105 <-> 01 -|- number: 5 <-> 02 -|- ;OK;OK;OK;DIFF;OK;DIFF;NONE;year: 2010 <> 2010).01-02,2010 | volume: 105 <> 105(5 | 
188;apa;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;OK;OK;OK;OK;OK;OK;MISS;OK;NONE;NONE;ADDED;;DIFF;OK;OK;OK;OK;OK;OK;author: waiyepeku <-> aiyepekuw -|- ;OK;DIFF;OK;OK;OK;DIFF;NONE;title: Bibliometrics In Information-Science Curricula <> Bibliometrics In Information-Science Curricula. | volume: 9 <> 9(1 | 
189;apa;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;DIFF;OK;OK;OK;OK;MISS;OK;NONE;NONE;OK;author: lbornmannfdemoyaanegon <-> fdemoyaanegonlbornmann -|- ;DIFF;OK;OK;OK;OK;OK;OK;author: lbornmannfdemoyaanegon <-> moyaanegonf -|- ;DIFF;DIFF;OK;OK;DIFF;DIFF;NONE;author: lbornmannfdemoyaanegon <> fdemoyaanegonlbornmann | title: Spatial Bibliometrics On The City Level <> Spatial Bibliometrics On The City Level. | pages: 416-425 <> 416-425.https://doi.org/10.1177/0165551518806119 | volume: 45 <> 45(3 | 
190;apa;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;DIFF;OK;OK;OK;OK;OK;NONE;NONE;OK;title: Bibliometrics-Measuring <I>Pervasive</I> <I>Computing'S</I> Impact <-> Bibliometrics-Measuring Pervasive ComputingâS Impact -|- ;OK;OK;DIFF;OK;OK;OK;MISS;OK;NONE;NONE;OK;title: Bibliometrics-Measuring <I>Pervasive</I> <I>Computing'S</I> Impact <-> Bibliometrics-Measuring Textperverse Computing'S Impact -|- ;DIFF;DIFF;OK;OK;OK;OK;OK;author: mlangheinrich <-> langheinrichm -|- title: Bibliometrics-Measuring <I>Pervasive</I> <I>Computing'S</I> Impact <-> Bibliometrics-Measuring Pervasive Computing'S Impact -|- ;OK;DIFF;OK;OK;MISS;DIFF;NONE;title: Bibliometrics-Measuring <I>Pervasive</I> <I>Computing'S</I> Impact <> Bibliometrics-Measuring <I>Pervasive</I> <I>ComputingâS</I> Impact. | volume: 17 <> 17(3),6-9 | 
191;apa;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;OK;DIFF;OK;OK;OK;OK;MISS;DIFF;NONE;NONE;ADDED;author: mmcenerystonelakejdbernhard <-> jdbernhardmmcenerystonelake -|- pages: 1051 <-> 1051-1064 -|- ;DIFF;DIFF;OK;OK;OK;OK;OK;author: mmcenerystonelakejdbernhard <-> bernhardjd -|- title: The Bibliometrics Of Itch: 2017 Update <-> The Bibliometrics Of Itch -|- ;DIFF;DIFF;OK;DIFF;MISS;DIFF;NONE;author: mmcenerystonelakejdbernhard <> jdbernhardmmcenerystonelake | title: The Bibliometrics Of Itch: 2017 Update <> The Bibliometrics Of Itch: Update. | year: 2017 <> 2017).20171051 | volume: 97 <> 97(8 | 
192;apa;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;DIFF;OK;OK;MISS;OK;MISS;MISS;OK;NONE;ADDED;OK;ENTRYTYPE: article <-> misc -|- ;DIFF;DIFF;OK;OK;OK;OK;OK;author: wpaisley <-> paisleyw -|- title: Bibliometrics, Scholarly Communication, And Communication-Research <-> Bibliometrics, Scholarly Communication, And Communicationresearch -|- ;OK;DIFF;OK;OK;DIFF;DIFF;NONE;title: Bibliometrics, Scholarly Communication, And Communication-Research <> Bibliometrics, Scholarly Communication, And Communication-Research. | pages: 701-717 <> 701-717.https://doi.org/10.1177/009365089016005010 | volume: 16 <> 16(5 | 
193;apa;0;inproceedings;1;1;0;1;0;0;1;1;1;0;DIFF;OK;OK;NONE;OK;NONE;NONE;OK;MISS;OK;NONE;ENTRYTYPE: inproceedings <-> incollection -|- ;;;;;;;;;;;;Problem parsing;DIFF;DIFF;NONE;DIFF;OK;NONE;ADDED;author: flancastersabdullah <-> unesco -|- title: Science And Politics - Some Bibliometrics Analysis <-> Science And Politics - Some Bibliometrics Analysis (R Arvanitis & -|- year: 1992 <-> 1990 -|- ;DIFF;DIFF;NONE;DIFF;DIFF;ADDED;MISS;author: flancastersabdullah <> sarvanitisjgaillardabdullahflancaster | title: Science And Politics - Some Bibliometrics Analysis <> Science And Politics - Some Bibliometrics Analysis (R Eds.) [International In: Science Indicators | year: 1992 <> 1990].15-19,1990.1992 | pages: 319-331 <> 319-331.2-7099-1082-9 | 
194;apa;0;article;1;1;1;1;1;1;1;0;0;0;OK;DIFF;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;author: ecwhite <-> ewhite -|- ;OK;DIFF;OK;OK;DIFF;OK;OK;OK;NONE;NONE;NONE;author: ecwhite <-> ewhite -|- year: 1985 <-> 1985doi=10.1111/j.1559-348X.1985.07006.x -|- ;DIFF;OK;OK;OK;OK;OK;OK;author: ecwhite <-> whitee -|- ;DIFF;DIFF;OK;OK;OK;DIFF;NONE;author: ecwhite <> ewhite | title: Bibliometrics - From Curiosity To Convention <> Bibliometrics - From Curiosity To Convention. | volume: 76 <> 76(1 | 
195;apa;0;article;1;1;1;1;1;1;0;0;0;1;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;OK;;OK;DIFF;OK;OK;DIFF;OK;OK;ADDED;NONE;NONE;MISS;author: gdzelalijamroic <-> gdzelalija -|- year: 2023 <-> 2023doi=10.3390/land12051097 -|- ;DIFF;OK;MISS;OK;NONE;OK;OK;author: gdzelalijamroic <-> roicm -|- ;DIFF;DIFF;OK;OK;NONE;DIFF;NONE;author: gdzelalijamroic <> mroicgdzelalija | title: Bibliometrics On Public Utilities Registration Research <> Bibliometrics On Public Utilities Registration Research. | volume: 12 <> 12(5 | 
196;apa;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;DIFF;OK;OK;DIFF;OK;OK;OK;NONE;NONE;MISS;author: jneufeldmvonins <-> jneufeld -|- year: 2011 <-> 2011doi=10.3152/095820211X12941371876382 -|- ;DIFF;OK;OK;OK;OK;OK;DIFF;author: jneufeldmvonins <-> insm -|- number: 1,SI <-> 1 -|- ;DIFF;DIFF;DIFF;OK;DIFF;DIFF;NONE;author: jneufeldmvonins <> mvoninsjneufeld | title: Informed Peer Review And Uninformed Bibliometrics? <> Informed Peer Review And Uninformed Bibliometrics? Research | journal: Research Evaluation <> Evaluation | pages: 31-46 <> 31-46.https://doi.org/10.3152/095820211X12941371876382 | volume: 20 <> 20(1,SI | 
197;apa;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;DIFF;OK;OK;DIFF;OK;OK;OK;NONE;NONE;NONE;author: mtraynorarafferty <-> mtraynor -|- year: 2001 <-> 2001doi=10.1046/j.1365-2648.2001.02017.x -|- ;DIFF;OK;OK;OK;OK;OK;OK;author: mtraynorarafferty <-> rafertya -|- ;DIFF;DIFF;DIFF;OK;DIFF;DIFF;NONE;author: mtraynorarafferty <> araffertymtraynor | title: Bibliometrics And A Culture Of Measurement <> Bibliometrics And A Culture Of Measurement. Journal | journal: Journal Of Advanced Nursing <> Of Advanced Nursing | pages: 167-168 <> 167-168.https://doi.org/10.1046/j.1365-2648.2001.02017.x | volume: 36 <> 36(2 | 
198;apa;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;OK;OK;DIFF;OK;DIFF;OK;MISS;OK;NONE;NONE;NONE;title: Scholarly Communication And Bibliometrics - Borgman,Cl <-> Scholarly Communication And Bibliometrics - Borgman -|- year: 1992 <-> 1992doi=10.1007/BF01590549 -|- ;DIFF;OK;OK;OK;OK;OK;OK;author: sharter <-> harters -|- ;OK;DIFF;OK;OK;OK;DIFF;NONE;title: Scholarly Communication And Bibliometrics - Borgman,Cl <> Scholarly Communication And Bibliometrics - Borgman,Cl. | volume: 48 <> 48(3 | 
199;apa;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;;;;;;;;;;;;Problem parsing;DIFF;OK;OK;OK;OK;OK;OK;author: cgumpenbergermwielandjgorraiz <-> gorraizj -|- ;DIFF;DIFF;DIFF;OK;OK;DIFF;NONE;author: cgumpenbergermwielandjgorraiz <> jgorraizmwielandcgumpenberger | title: Bibliometrics And Libraries - A Promising Liaison <> Bibliometrics And Libraries - A Promising Liaison. Zeitschrift | journal: Zeitschrift Fur Bibliothekswesen Und Bibliographie <> Fur Bibliothekswesen Und Bibliographie | volume: 61 <> 61(4-5 | 
200;apa;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;;;;;;;;;;;;Problem parsing;DIFF;DIFF;MISS;OK;OK;OK;OK;author: rualvaradocrestrepoarango <-> iberoamericanadecienciadainformacao -|- title: Brazilian Bibliometrics: Diffusion Of Its Literature <-> Brazilian Bibliometrics -|- ;DIFF;DIFF;DIFF;OK;DIFF;DIFF;NONE;author: rualvaradocrestrepoarango <> crestrepoarangorualvarado | title: Brazilian Bibliometrics: Diffusion Of Its Literature <> Brazilian Bibliometrics: Diffusion Of Its Literature. Revista Ibero-Americana De Ciencia | journal: Revista Ibero-Americana De Ciencia Da Informacao <> Da Informacao | pages: 200-222 <> 200-222.https://doi.org/10.26512/rici.v13.n1.2020.27922 | volume: 13 <> 13(1 | 
201;authortitle;0;article;1;1;1;1;1;0;1;0;0;0;OK;OK;OK;OK;OK;OK;NONE;OK;NONE;NONE;NONE;;OK;OK;OK;OK;MISS;OK;NONE;OK;NONE;NONE;NONE;;DIFF;DIFF;DIFF;OK;OK;MISS;NONE;author: fnarinjkmoll <-> jk -|- title: Bibliometrics <-> ÂBibliometricsâ -|- journal: Annual Review Of Information Science And Technology <-> In -|- ;OK;DIFF;DIFF;OK;DIFF;OK;NONE;title: Bibliometrics <> ÂBibliometricsâ. In: Annual Review | journal: Annual Review Of Information Science And Technology <> Of Information Science And Technology | pages: 35-58 <> 35-58.0066-4200 | 
202;authortitle;1;article;1;1;1;1;1;1;1;0;0;1;OK;DIFF;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;author: pauljrklimo <-> paulklimojr -|- ;;;;;;;;;;;;Problem parsing;DIFF;DIFF;DIFF;DIFF;OK;DIFF;DIFF;author: pauljrklimo <-> jr -|- title: Bibliometrics <-> Bibliometricsâ -|- journal: Journal Of Neurosurgery <-> In -|- year: 2016 <-> 2015 -|- volume: 124 <-> 10 -|- number: 3 <-> 2016 -|- ;DIFF;DIFF;DIFF;OK;DIFF;DIFF;NONE;author: pauljrklimo <> pauletalklimojr | title: Bibliometrics <> ÂBibliometricsâ. In: Journal | journal: Journal Of Neurosurgery <> Of Neurosurgery | pages: 877-878 <> 877-878.0022-3085.10.3171/2015.7.JNS151647 | volume: 124 <> 124.3 | 
203;authortitle;0;article;1;1;1;1;1;0;1;0;0;0;OK;OK;OK;OK;OK;OK;NONE;OK;NONE;NONE;NONE;;OK;OK;OK;OK;MISS;OK;NONE;OK;NONE;NONE;NONE;;MISS;DIFF;DIFF;OK;OK;MISS;NONE;title: Bibliometrics <-> White, Hd And Kw Mccain. ÂBibliometricsâ -|- journal: Annual Review Of Information Science And Technology <-> In -|- ;OK;DIFF;OK;OK;DIFF;DIFF;NONE;title: Bibliometrics <> ÂBibliometricsâ. In: | pages: 119-186 <> 119-186.0066-4200 | volume: 24 <> 24issn | 
204;authortitle;0;article;1;1;1;1;0;1;1;0;0;0;OK;OK;OK;OK;OK;NONE;OK;OK;NONE;NONE;NONE;;OK;OK;OK;OK;MISS;ADDED;MISS;OK;NONE;NONE;ADDED;;DIFF;DIFF;MISS;OK;DIFF;NONE;MISS;author: friedrichnietzsche <-> exercerlarevuefrancophonedemedecinegenerale -|- title: Bibliometrics Journey <-> Bibliometrics Journeyâ -|- pages: 195 <-> 195-3953 -|- ;DIFF;DIFF;DIFF;OK;DIFF;ADDED;NONE;author: friedrichnietzsche <> fâjnietzsche | title: Bibliometrics Journey <> In: Exercer-La | journal: Exercer-La Revue Francophone De Medecine Generale <> Revue Francophone De Medecine Generale | pages: 195 <> 195.0998-3953 | 
205;authortitle;0;article;1;1;1;1;1;0;1;0;0;0;OK;OK;OK;OK;OK;OK;NONE;OK;NONE;NONE;NONE;;OK;OK;OK;DIFF;MISS;OK;NONE;DIFF;NONE;NONE;ADDED;journal: Annual Review Of Information Science And Technology <-> Annals Of Information Science And Technology -|- pages: 3-64 <-> 3u201364 -|- ;DIFF;DIFF;DIFF;OK;OK;MISS;NONE;author: michaeljkurtzjohanbollen <-> bollenjohan -|- title: Usage Bibliometrics <-> Usage Bibliometricsâ -|- journal: Annual Review Of Information Science And Technology <-> In -|- ;OK;DIFF;DIFF;OK;DIFF;OK;NONE;title: Usage Bibliometrics <> ÂUsage Bibliometricsâ. In: Annual Review Of Information | journal: Annual Review Of Information Science And Technology <> Science And Technology | pages: 3-64 <> 3-64.0066-4200 | 
206;authortitle;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;;;;;;;;;;;;Problem parsing;DIFF;DIFF;DIFF;MISS;DIFF;MISS;DIFF;author: chdavis <-> davis -|- title: Bibliometrics - Foreword <-> Bibliometrics - Forewordâ -|- journal: Library Trends <-> In -|- pages: 3 <-> 3-2594 -|- number: 1 <-> 1981 -|- ;OK;DIFF;OK;OK;DIFF;DIFF;NONE;title: Bibliometrics - Foreword <> ÂBibliometrics - Forewordâ. In: | pages: 3 <> 0024-2594 | volume: 30 <> 30.13 | 
207;authortitle;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;DIFF;OK;OK;MISS;MISS;MISS;MISS;DIFF;NONE;NONE;ADDED;ENTRYTYPE: article <-> book -|- pages: 171-173 <-> 171u2013173 -|- ;DIFF;DIFF;DIFF;MISS;OK;MISS;DIFF;author: michaelczolkosshettwer <-> czolkosshettwer -|- title: Handbook Bibliometrics <-> Handbook Bibliometricsâ -|- journal: Zeitschrift Fur Bibliothekswesen Und Bibliographie <-> In -|- number: 3 <-> 2022 -|- ;OK;DIFF;DIFF;OK;DIFF;DIFF;NONE;title: Handbook Bibliometrics <> ÂHandbook Bibliometricsâ. In: Zeitschrift Fur Bibliothekswesen | journal: Zeitschrift Fur Bibliothekswesen Und Bibliographie <> Und Bibliographie | pages: 171-173 <> 171-173.0044-2380 | volume: 69 <> 69.3 | 
208;authortitle;1;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;OK;DIFF;OK;OK;MISS;OK;MISS;DIFF;NONE;NONE;ADDED;author: christopherslozano <-> christophersetallozano -|- pages: 878-879 <-> 878u2013879 -|- ;DIFF;DIFF;DIFF;MISS;OK;MISS;DIFF;author: christopherslozano <-> christophers -|- title: Bibliometrics Response <-> Bibliometrics Responseâ -|- journal: Journal Of Neurosurgery <-> In -|- number: 3 <-> 2016 -|- ;DIFF;DIFF;DIFF;OK;DIFF;DIFF;NONE;author: christopherslozano <> christophersetallozano | title: Bibliometrics Response <> ÂBibliometrics Responseâ. In: Journal | journal: Journal Of Neurosurgery <> Of Neurosurgery | pages: 878-879 <> 878-879.0022-3085 | volume: 124 <> 124.3 | 
209;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;;DIFF;DIFF;DIFF;MISS;OK;DIFF;DIFF;author: svonungernsternberg <-> ungernsternbergsvon -|- title: Teaching Bibliometrics <-> Teaching Bibliometricsâ -|- journal: Journal Of Education For Library And Information Science <-> In -|- volume: 39 <-> 10 -|- number: 1 <-> 1998 -|- ;OK;DIFF;DIFF;OK;DIFF;DIFF;NONE;title: Teaching Bibliometrics <> ÂTeaching Bibliometricsâ. In: Journal | journal: Journal Of Education For Library And Information Science <> Of Education For Library And Information Science | pages: 76-80 <> 76-80.0748-5786 | volume: 39 <> 39.1 | 
210;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;;DIFF;DIFF;DIFF;OK;OK;DIFF;DIFF;author: fnarin <-> narinf -|- title: Patent Bibliometrics <-> Patent Bibliometricsâ -|- journal: Scientometrics <-> In -|- volume: 30 <-> 11 -|- number: 1 <-> 15 -|- ;DIFF;DIFF;DIFF;DIFF;DIFF;DIFF;NONE;author: fnarin <> fâbinarin | title: Patent Bibliometrics <> Scientometrics | journal: Scientometrics <> Sep | year: 1994 <> 1994).(1922-1983),1993 | pages: 147-155 <> 147-155.0138-9130.doi:10.1007/BF02017219 | volume: 30 <> 30.111-15,issn | 
211;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;DIFF;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;author: idianecooper <-> idcooper -|- ;DIFF;DIFF;DIFF;DIFF;OK;DIFF;DIFF;author: idianecooper <-> cooperidiane -|- title: Bibliometrics Basics <-> Bibliometrics Basicsâ -|- journal: Journal Of The Medical Library Association <-> In -|- year: 2015 <-> 103 -|- volume: 103 <-> 10 -|- number: 4 <-> 2015 -|- ;OK;DIFF;DIFF;OK;DIFF;DIFF;NONE;title: Bibliometrics Basics <> ÂBibliometrics Basicsâ. In: Journal Of | journal: Journal Of The Medical Library Association <> The Medical Library Association | pages: 217-218 <> 217-218.1536-5050.10.3163/1536-5050.103.4.013 | volume: 103 <> 103.4issn | 
212;authortitle;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;NONE;;DIFF;DIFF;DIFF;MISS;OK;MISS;DIFF;author: amschrader <-> schrader -|- title: Teaching Bibliometrics <-> Teaching Bibliometricsâ -|- journal: Library Trends <-> In -|- number: 1 <-> 1981 -|- ;OK;DIFF;OK;OK;DIFF;DIFF;NONE;title: Teaching Bibliometrics <> ÂTeaching Bibliometricsâ. | pages: 151-159 <> 151-159.0024-2594 | volume: 30 <> 30.1 | 
213;authortitle;0;article;1;1;1;1;1;1;1;0;0;0;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;NONE;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;NONE;;DIFF;DIFF;DIFF;MISS;OK;MISS;DIFF;author: wgpotter <-> potter -|- title: Bibliometrics - Introduction <-> Bibliometrics - Introductionâ -|- journal: Library Trends <-> In -|- number: 1 <-> 1981 -|- ;OK;DIFF;OK;OK;DIFF;DIFF;NONE;title: Bibliometrics - Introduction <> ÂBibliometrics - Introductionâ. | pages: 5-7 <> 5-7.0024-2594 | volume: 30 <> 30.1 | 
214;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;;DIFF;DIFF;DIFF;MISS;OK;DIFF;DIFF;author: andrasschubert <-> schubert -|- title: Handbook Bibliometrics <-> Handbook Bibliometricsâ -|- journal: Scientometrics <-> In -|- volume: 126 <-> 10 -|- number: 6 <-> 2021 -|- ;OK;DIFF;OK;OK;DIFF;DIFF;NONE;title: Handbook Bibliometrics <> ÂHandbook Bibliometricsâ. In: | pages: 5379-5385 <> 5379-5385.0138-9130.10.1007/s11192-021-03975-2 | volume: 126 <> 126.6 | 
215;authortitle;1;article;1;1;1;1;1;0;1;0;0;1;OK;OK;OK;OK;OK;OK;NONE;OK;NONE;NONE;OK;;OK;DIFF;OK;OK;MISS;OK;NONE;OK;NONE;NONE;OK;author: torabenjaminsen <-> toraetalbenjaminsen -|- ;DIFF;DIFF;DIFF;OK;OK;DIFF;NONE;author: torabenjaminsen <-> benjaminsen -|- title: Beyond Bibliometrics <-> Tor A -|- journal: Political Geography <-> In -|- volume: 68 <-> 10 -|- ;DIFF;DIFF;DIFF;OK;DIFF;OK;NONE;author: torabenjaminsen <> toraetalbenjaminsen | title: Beyond Bibliometrics <> ÂBeyond Bibliometricsâ. In: Political | journal: Political Geography <> Geography | pages: A1-A2 <> 0962-6298 | 
216;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;;DIFF;DIFF;DIFF;MISS;OK;DIFF;DIFF;author: gillesmauricedeschryver <-> schryver -|- title: Bibliometrics In Lexicography <-> Bibliometrics In Lexicographyâ -|- journal: International Journal Of Lexicography <-> In -|- volume: 22 <-> 10 -|- number: 4 <-> 2009 -|- ;OK;DIFF;DIFF;OK;DIFF;DIFF;NONE;title: Bibliometrics In Lexicography <> ÂBibliometrics In Lexicographyâ. In: | journal: International Journal Of Lexicography <> Journal Of Lexicography | pages: 423-465 <> 423-465.0950-3846.10.1093/ijl/ecp027 | volume: 22 <> 22.4issn | 
217;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;DIFF;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;author: peterkokolhelenablazunvosnerjernejzavrsnik <-> peakokol -|- ;DIFF;DIFF;DIFF;MISS;OK;DIFF;DIFF;author: peterkokolhelenablazunvosnerjernejzavrsnik <-> kokol -|- title: Application Of Bibliometrics In Medicine: A Historical Bibliometrics Analysis <-> Application Of Bibliometrics In Medicine -|- journal: Health Information And Libraries Journal <-> In -|- volume: 38 <-> 10 -|- number: 2 <-> 2021 -|- ;DIFF;DIFF;DIFF;OK;DIFF;DIFF;NONE;author: peterkokolhelenablazunvosnerjernejzavrsnik <> helenablazunvosnerpeterkokoljernejzavrsnik | title: Application Of Bibliometrics In Medicine: A Historical Bibliometrics Analysis <> ÂApplication Of Bibliometrics In Medicine: A Historical Bibliometrics Analysisâ. In: Health | journal: Health Information And Libraries Journal <> Information And Libraries Journal | pages: 125-138 <> 125-138.issn:1471-1834.doi:10.1111/hir.12295 | volume: 38 <> 38.2 | 
218;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;;DIFF;MISS;DIFF;MISS;OK;DIFF;DIFF;author: mikethelwall <-> thelwall -|- journal: Journal Of Information Science <-> In -|- volume: 34 <-> 10 -|- number: 4 <-> 2008 -|- ;OK;DIFF;DIFF;OK;DIFF;DIFF;NONE;title: Bibliometrics To Webometrics <> ÂBibliometrics To Webometricsâ. In: Journal | journal: Journal Of Information Science <> Of Information Science | pages: 605-621 <> 605-621.0165-5515.10.1177/0165551507087238 | volume: 34 <> 34.4issn | 
219;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;;;;;;;;;;;;Problem parsing;DIFF;DIFF;DIFF;MISS;DIFF;DIFF;DIFF;author: fwlancaster <->  -|- title: Dictionary Of Bibliometrics <-> Dictionary Of Bibliometricsâ -|- journal: Journal Of The American Society For Information Science <-> In -|- pages: 480 <-> 480-8231 -|- volume: 48 <-> 10 -|- number: 5 <-> 1997 -|- ;DIFF;DIFF;DIFF;OK;DIFF;DIFF;NONE;author: fwlancaster <> fjotlancaster | title: Dictionary Of Bibliometrics <> ÂDictionary Of Bibliometricsâ. In: | journal: Journal Of The American Society For Information Science <> American Society For Information Science | pages: 480 <> 480.0002-8231 | volume: 48 <> 48.5issn | 
220;authortitle;0;article;1;1;1;1;1;1;1;0;0;1;OK;OK;OK;OK;OK;OK;OK;OK;NONE;NONE;OK;;OK;OK;OK;OK;MISS;OK;MISS;OK;NONE;NONE;OK;;DIFF;DIFF;DIFF;MISS;OK;OK;DIFF;author: bcbrookes <-> brookes -|- title: Developments In Bibliometrics <-> Developments In Bibliometricsâ -|- journal: Journal Of Information Science <-> In -|- number: 2 <-> 1985 -|- ;DIFF;MISS;OK;OK;DIFF;DIFF;NONE;author: bcbrookes <> bâibibrookes | pages: 91-92 <> 91-92.0165-5515.10.1177/016555158501000206 | volume: 10 <> 10.2 | 
